time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m
2023-01-01,12.2125,80.375,0.0,6.0874999999999995
2023-01-08,9.560714285714287,87.83333333333333,0.0,7.113690476190476
2023-01-15,11.8625,84.01190476190476,0.08511904761904762,9.996428571428572
2023-01-22,11.38452380952381,71.6547619047619,0.0,8.511904761904763
2023-01-29,14.251190476190475,77.45238095238095,0.05952380952380952,9.802380952380952
2023-02-05,14.576785714285714,74.7797619047619,0.15476190476190477,12.452380952380953
2023-02-12,17.166666666666668,64.51785714285714,0.002976190476190476,10.75952380952381
2023-02-19,18.300595238095237,61.82738095238095,0.0,10.556547619047619
2023-02-26,21.304166666666667,55.86904761904762,0.0,9.191071428571428
2023-03-05,22.56904761904762,51.785714285714285,0.0,10.274404761904762
2023-03-12,22.741666666666667,52.154761904761905,0.002380952380952381,8.73392857142857
2023-03-19,23.376190476190477,56.55952380952381,0.0125,8.25
2023-03-26,20.34940476190476,75.6547619047619,0.2892857142857143,8.220238095238095
2023-04-02,21.363095238095237,70.5952380952381,0.11785714285714285,8.030357142857142
2023-04-09,24.017857142857142,45.74404761904762,0.0,10.80297619047619
2023-04-16,29.639880952380953,26.779761904761905,0.0,11.75
2023-04-23,29.791071428571428,31.077380952380953,0.0,10.505952380952381
2023-04-30,27.299404761904764,40.79761904761905,0.016666666666666666,8.45952380952381
2023-05-07,24.4,70.63095238095238,0.10595238095238095,8.142261904761906
2023-05-14,31.14107142857143,28.803571428571427,0.0,11.417261904761904
2023-05-21,32.7625,29.81547619047619,0.0,12.539880952380951
2023-05-28,30.198809523809523,51.839285714285715,0.11369047619047618,11.249404761904762
2023-06-04,27.132142857142856,66.06547619047619,0.04404761904761905,8.407738095238095
2023-06-11,32.88511904761905,40.351190476190474,0.0017857142857142859,12.532738095238095
2023-06-18,34.05357142857143,46.529761904761905,0.011904761904761904,15.70595238095238
2023-06-25,30.135119047619046,75.86309523809524,0.40773809523809523,7.779761904761905
2023-07-02,28.824404761904763,81.79761904761905,0.35833333333333334,8.033928571428572
2023-07-09,28.913095238095234,81.7797619047619,0.5482142857142858,9.96547619047619
2023-07-16,28.527380952380955,85.27380952380952,0.5404761904761904,6.680357142857143
2023-07-23,29.739880952380954,81.26785714285714,0.45416666666666666,9.311904761904762
2023-07-30,28.61904761904762,84.30952380952381,0.4773809523809524,7.828571428571429
2023-08-06,29.63154761904762,80.69642857142857,0.20654761904761904,10.701785714285714
2023-08-13,30.404166666666665,67.51190476190476,0.010714285714285714,14.28452380952381
2023-08-20,31.138690476190476,66.98214285714286,0.04702380952380952,9.613690476190476
2023-08-27,30.08214285714286,70.5,0.19761904761904764,11.219047619047618
2023-09-03,31.53392857142857,55.07142857142857,0.01011904761904762,12.408333333333333
2023-09-10,30.237499999999997,66.46428571428571,0.3255952380952381,9.838095238095239
2023-09-17,28.43809523809524,83.27380952380952,0.21607142857142855,9.392261904761906
2023-09-24,28.615476190476187,80.79761904761905,0.04583333333333334,8.031547619047618
2023-10-01,27.52857142857143,67.48214285714286,0.0,8.41904761904762
2023-10-08,27.17083333333333,54.482142857142854,0.0,10.55952380952381
2023-10-15,27.572023809523813,56.98809523809524,0.002976190476190476,8.79404761904762
2023-10-22,22.98035714285714,65.64285714285714,0.03511904761904762,8.45952380952381
2023-10-29,23.48392857142857,59.69047619047619,0.0,7.614880952380952
2023-11-05,23.54345238095238,68.10119047619048,0.0035714285714285713,6.57797619047619
2023-11-12,21.138690476190476,70.91666666666667,0.009523809523809525,7.420238095238095
2023-11-19,19.47083333333333,72.85119047619048,0.0,5.767261904761905
2023-11-26,18.526785714285715,70.53571428571429,0.0,7.079761904761905
2023-12-03,18.188095238095237,81.22619047619048,0.05,6.872619047619047
2023-12-10,16.40952380952381,74.39285714285714,0.0,8.788690476190476
2023-12-17,14.830357142857142,70.94642857142857,0.0,7.122023809523809
2023-12-24,14.354761904761904,73.51190476190476,0.007142857142857143,8.563095238095238
2023-12-31,13.766666666666667,84.70833333333333,0.0,5.680357142857143
